Timestamp,Gender,Age,Year of Study,Major/Intended Major,"Average mobile screen time per day? (This question has to be accurate so please check this from your settings 🙏  🙏. in Hour:Min, don't worry about AM/PM)",What time of the day do you use your phone the most?⏰,What day of the week do you use your phone the most?📅,Most used app(Genre of app),Do you use your phone for academic purposes?,Number of people in your friend circle 👥👥,How would you rate your anxiety level on a scale of 1-5(with 5 being most anxious)😬,Do you play any sport? ⚽ 🏀 🏏,What is your CGPA? 🎓,Would you be willing to reduce your phone usage if it meant improving your academic performance?,"Do you use strategies to manage your phone usage? (e.g,  Setting usage limits, Using apps to track usage, Turning off notifications, Scheduled phone-free times  )"
10/15/2024 10:18:43,Female,22,Senior,Arts 🎨 / Humanities and Social Science💲,10:00:00 AM,Afternoon,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,12,3,No,3.3-3.6,Yes,No
10/15/2024 11:25:31,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:45:00 AM,Night,Saturday,"Messaging(Whatsapp, Messenger) 💬",Yes,10,1,No,3.6-4.0,No,No
10/15/2024 11:47:30,Female,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:00:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,8,4,No,3.0-3.3,Yes,Yes
10/15/2024 11:50:38,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:26:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,4,Yes,<2.5,Yes,Yes
10/15/2024 11:57:56,Male,20,Junior,Business Studies 📈,5:59:00 AM,Night,Thursday,"Entertainment(YouTube, Netflix etc) 📺",Yes,9,3,No,3.6-4.0,No,Yes
10/15/2024 12:00:52,Male,21,Junior,Business Studies 📈,3:20:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,4,3,Yes,3.3-3.6,Yes,No
10/15/2024 12:10:44,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:23:00 PM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,3,4,Yes,3.6-4.0,Yes,Yes
10/15/2024 12:28:39,Male,20,Junior,Arts 🎨 / Humanities and Social Science💲,5:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,20,4,Yes,3.6-4.0,Yes,Yes
10/15/2024 12:52:01,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:46:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,10,2,Yes,3.0-3.3,No,No
10/15/2024 12:52:17,Male,22,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:00:00 PM,Afternoon,Monday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,3,1,Yes,3.6-4.0,Yes,Yes
10/15/2024 13:07:41,Female,23,Senior,Medical 🩺,3:00:00 PM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,6,2,Yes,3.3-3.6,Yes,No
10/15/2024 13:21:55,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:58:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,1,Yes,3.6-4.0,Yes,Yes
10/15/2024 13:33:19,Female,21,Senior,Medical 🩺,9:10:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,4,No,3.3-3.6,Yes,Yes
10/15/2024 13:41:53,Male,20,Sophomore,Medical 🩺,4:12:00 AM,Night,Sunday,"Messaging(Whatsapp, Messenger) 💬",No,15,2,Yes,3.3-3.6,Yes,No
10/15/2024 13:46:52,Female,22,Senior,Medical 🩺,2:00:00 PM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,2,No,3.6-4.0,No,No
10/15/2024 14:04:01,Female,22,Senior,Medical 🩺,8:25:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,6,3,No,3.3-3.6,Yes,No
10/15/2024 14:26:16,Female,21,Senior,Medical 🩺,8:00:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,7,2,Yes,3.6-4.0,Yes,Yes
10/15/2024 14:54:55,Male,17,Senior,Undecided,8:30:00 AM,Afternoon,Saturday,"Entertainment(YouTube, Netflix etc) 📺",No,30-35,1,Yes,3.6-4.0,Yes,No
10/15/2024 15:04:46,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:00:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,3,Yes,3.6-4.0,No,No
10/15/2024 15:30:56,Female,19,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:00:00 AM,Afternoon,Friday,"Messaging(Whatsapp, Messenger) 💬",No,10,2,No,3.0-3.3,,No
10/15/2024 15:31:42,Male,19,Freshman,Law ⚖️,7:05:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,5,2,No,3.3-3.6,Yes,No
10/15/2024 15:33:24,Male,19,Freshman,Business Studies 📈,2:06:00 AM,Night,Sunday,"Entertainment(YouTube, Netflix etc) 📺",Yes,10,3,Yes,3.0-3.3,Yes,Yes
10/15/2024 15:35:32,Male,20,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,1:30:00 AM,Night,Saturday,"Messaging(Whatsapp, Messenger) 💬",Yes,30,3,Yes,3.0-3.3,Yes,No
10/15/2024 15:35:54,Male,18,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,25+,4,No,3.0-3.3,,
10/15/2024 15:36:24,Male,19,Freshman,Arts 🎨 / Humanities and Social Science💲,12:00:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,1000 (online),5,Yes,2.5-3.0,No,No
10/15/2024 15:36:44,Male,18,Freshman,Business Studies 📈,2:30:00 AM,Afternoon,Wednesday,"Messaging(Whatsapp, Messenger) 💬",Yes,10,4,No,3.0-3.3,Yes,No
10/15/2024 15:38:20,Female,20,Freshman,Business Studies 📈,10:30:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,8,5,No,3.6-4.0,Yes,Yes
10/15/2024 15:43:07,Male,19,Freshman,Business Studies 📈,4:00:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,15,4,No,3.0-3.3,Yes,Yes
10/15/2024 15:46:06,Male,18,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,7:30:00 AM,Afternoon,Monday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,50999999,5,Yes,<2.5,Yes,No
10/15/2024 15:48:37,Female,15,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:30:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,6,4,Yes,3.6-4.0,No,No
10/15/2024 15:53:34,Female,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:29:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,10,3,No,3.0-3.3,No,Yes
10/15/2024 16:03:14,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:54:00 AM,Evening,Wednesday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,7,3,Yes,3.6-4.0,Yes,No
10/15/2024 16:04:10,Male,19,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:55:00 AM,Evening,Sunday,"Entertainment(YouTube, Netflix etc) 📺",Yes,5,5,No,<2.5,No,No
10/15/2024 16:13:11,Female,18,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:22:00 AM,Night,Wednesday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,"Idk...alot....like, probably about 20....including highschool friends and groups like the o week ppl, hostel ppl, and ppl i know from societies i joined....I'd classify them all as friends ",2,No,3.6-4.0,No,Yes
10/15/2024 16:14:24,Male,18,Freshman,Arts 🎨 / Humanities and Social Science💲,5:00:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,19,5,Yes,3.3-3.6,Yes,Yes
10/15/2024 16:15:14,Male,22,Senior,Business Studies 📈,5:00:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,1,Yes,3.0-3.3,No,No
10/15/2024 16:22:29,Female,19,Freshman,Business Studies 📈,5:00:00 PM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,3,Yes,3.6-4.0,No,Yes
10/15/2024 16:35:17,Male,20,Freshman,Business Studies 📈,9:00:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,Bas Rais,5,No,<2.5,No,No
10/15/2024 17:24:59,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:18:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,12,4,Yes,3.6-4.0,Yes,No
10/15/2024 17:54:36,Female,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:20:00 AM,Evening,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,7,4,No,3.0-3.3,Yes,No
10/15/2024 19:28:19,Female,19,Freshman,Business Studies 📈,6:48:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,20,5,No,3.3-3.6,Yes,No
10/15/2024 20:04:44,Male,25,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,7:00:00 PM,Evening,Tuesday,"Studying(educational apps, e-books etc) 📚",No,1000,1,No,<2.5,No,No
10/15/2024 20:40:29,Male,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,2:03:00 AM,Evening,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,4,Yes,3.0-3.3,Yes,Yes
